query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxdY3mzDc28yovNZkZ4AaABAg,1 month ago,3,4,"I�ve owned two Porsche 911s in my life. But honestly, they seem like anachronisms now, in the era of high performance electric cars. A Tesla model 3 has a 0-60 time of 2.9 seconds. And�.it can drive itself if you want it to. No gas, no engine maintenance. ?",@philterzian9162,https://yt3.ggpht.com/K-UNYhoS12dT3QW7Q9LciHq6V-DRZF6gdf47zGOZRxrLSG5JEOuDXURoqDOwjBIukorhpDQEHA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCLG_ZVrQvITK4mKfC3laHLA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgyAkzlAALitypAKvbR4AaABAg,2 weeks ago,1,,????? ??? ????? ?? ???? ??????? ??? ??? ?? ?? ????,@????-?5,https://yt3.ggpht.com/qSXk7QpXWxkxkAr7cQS8sr8w8mDdrMnSZB2S6BWUYGugwtgIwAU_UXZC6DEuY9Elb-VzKOd7jQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCE8jm2HeKxWSz3i4TqWzpvg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgzLAx9NdHudh28DvL54AaABAg,1 month ago,1,,17:00 I was expecting them to hold each others hands and fall in love  ;p,@RahulPrakash3,https://yt3.ggpht.com/ytc/AIdro_kNn6ML5JlhLrSoExrtw_OWTxjwv-pPPh8GhTrE49w-bzrwzJrjG1FoMdgRo3BUt4v3Gw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCnHlDRvS5sZ5BjbfrYcLq-g,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgzyL2F8ak6hJQpNFn14AaABAg,2 weeks ago,1,2,I will work here one day,@RichardIfeanyi-d8j,https://yt3.ggpht.com/ytc/AIdro_l3eSdJrs9xkcAFM7kExUd2KzasO2x_y1BOcwBOQFRsO4jhq02GQpbHzLNdWF64M9fNlQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCv2yhty_j2Afup9UEGq09Qg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugx-Ng6vLJIDIjwdRTJ4AaABAg,1 month ago,1,,Nice,@Arashkhodadaddd,https://yt3.ggpht.com/SulhoDCjIMB-7kgs59qfi3GhtI27w8XZ3SQ85PR6CTDo_bvknfd1xzzQ8Yz2syQ7KkvJnWhWzQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCEFgaRxgVVYSNEK70XGrmBg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgyCYSH9Nrl7pWFMnYN4AaABAg,1 month ago,2,,I'm glad to see diversity in the workforce.,@donsicariofx,https://yt3.ggpht.com/ytc/AIdro_l0DUdxEX21czSNEjPg1WmEDvygJXSACsjzmY6GjcN4gWcRDE3X6Anb70DtjYOUCRa2CA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCwOYh_eQy4_P36ogzk832zQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugzoy4pUFiNlcauHBXN4AaABAg,2 months ago,2,,"Sou,Do, Brasil, Brasileiro,sou, pintor automotivo, � adorei essa, obra,de, arte, muito poderosa, muito, linda,undia,ainda, vou ter poder,,para,ter, um dese,",@FabioDomingos-i2x,https://yt3.ggpht.com/ytc/AIdro_ls0vhWs4kqy-095ZwSEOKuRHtVtFFeSy6EKZThk5nR5Rjjb1uecFchqRpuGMVIzmHYcw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCflNEF0UzDo3sm8bUd4lf6g,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgzwuxNPYnKxGo_z-Ip4AaABAg,3 weeks ago,1,,A German masterpiece.,@dharmaambesa2730,https://yt3.ggpht.com/ytc/AIdro_mWc5-fTWJsH5n_5bv0fjBHle3eaaHlUqOWuyfTDmsHSAE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCKsY4Z2afQQSN7pYIKhwMPg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugx-7l99X074BcRw0VJ4AaABAg,3 months ago,2,,"Quality is better! Mostly automated and each part is assembled exactly like the last! Little chance for human error during assembly!",@yongkim777,https://yt3.ggpht.com/ytc/AIdro_mq8cSn9awmV0kGBu_TqUz_TzJYcfe9aJddLaScf9nSM2w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCDhCqKbTHardFtVPhYihcYA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugz4n66OFhI4P5dFokt4AaABAg,4 months ago,2,,"C�est bon ! Maintenant que j�ai vu comment il faut faire ??� je vais pouvoir m�en faire une . Manque juste un peu de mat�riel, mais o. Va se d�brouiller ??",@DidierHUMBERT-ig7tf,https://yt3.ggpht.com/ytc/AIdro_k65DZsAHQBUnAuOxSZT7r9fAk4iy8_eNYr_aT6LrBfoCwrcS85Lh9VOPaGRI17GotdtA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCCrsj9cLVT57caqvkNDDdkw,FALSE,FALSE,FALSE
